Title,Date,Rating,Description,Score
Angry Birds VR: Isle of Pigs,"Mar 17, 2009",E10+,"Join Red, Chuck, Bomb & the Blues to save the stolen eggs in Angry Birds VR: Isle of Pigs, an immersive VR game adventure from Resolution Games! 

Explore a remote island where the greedy green pigs take their vacation in 104 fun-filled levels! Make your way up to party city through the serene ""Vacation Levels"" of exotic beaches, steep cliffs & snowy slopes while destroying structures in the most spectacular way. Once the new boss pig Dr. Frankenswine takes over, it's time to slingshot your way through even more challenging ""Spooky Levels"" gameplay, where the beaches are scary, the cliffs are creepy, the slopes are slimy & the peaks are terrifying.",Metascore 79 out of 100
Dark Souls II: Crown of the Old Iron King,,,"Crown of the Old Iron King features an entirely different world within the Dark Souls II universe where players will venture into a massive tower swamped by black mist where flames, smoke and sorcery sadistically lurk.",Metascore 79 out of 100
Alba: a Wildlife Adventure,"Feb 7, 2019",,"Even the smallest person can make a big difference. Join Alba, as she sets out to save her beautiful island and its wildlife. And possibly start a revolution.",Metascore 79 out of 100
Wild Hearts,,,"Master ancient tech to hunt down giant beasts through a fantasy world inspired by feudal Japan. WILD HEARTS is a unique twist on the hunting genre where technology gives you a fighting chance against fearsome beasts infused with the ferocious power of nature itself.  Take on these creatures alone or hunt with friends in seamless co-op. Developed by Omega Force, the Japanese studio behind the Dynasty Warriors franchise and in partnership with EA Originals, WILD HEARTS takes you on an epic adventure set in a fantasy world inspired by feudal Japan.",Metascore 79 out of 100
The Gardens Between,"Aug 26, 2014",,"The Gardens Between is a surreal puzzle adventure that follows best friends, Arina and Frendt, as they fall into a mysterious world of beautiful garden islands. Manipulate time to solve puzzles and discover the secrets of each island.",Metascore 79 out of 100
Wizorb,,,Wizorb is a unique combination of classic block-breaking action and light RPG elements.,Metascore 79 out of 100
Mega Man Battle Network,"Dec 11, 2020",E,"In the future, a young net-battler named Lan, boots his 'personal exploration terminal' (PET) and prepares to hack into the network to battle net crime. Lan's PET is no ordinary network navigator. It's Mega Man.EXE, the cyber-identity, which infiltrates the crime-ridden network to battle destructive computer viruses. Defeat viruses in real time and collect Battle Chips program data, containing valuable weapons data and critical system info. Collect over 175 Battle Chips to help Land and Mega Man.EXE restore peace and order to the network.",Metascore 79 out of 100
Tenchu: Wrath of Heaven,,,"Move like a shadow. Strike like a snake... After amassing an army of ninjas and lords of darkness, the mysterious Tenrai has begun a quest to conquer 16th-century Japan. Now your master, Lord Gohda, has called upon you - a cunning stealth assassin - to stop Tenrai and his disciples before all is lost. [Activision]",Metascore 79 out of 100
The First Berserker: Khazan,"Feb 17, 2023",T,"The First Berserker: Khazan is a hardcore action role-playing game. The player will become Khazan, the great general of the Pell Los Empire, who overcame death, and sets out to reveal the incidents that led to his downfall and seek vengeance on his enemies.",Metascore 78 out of 100
Roogoo,,,"[Xbox Live Arcade]  Roogoo updates the square peg in a round hole premise to a whole new level. Help the Roogoo defeat their enemies, the evil Meemoo, in Roogoo, a new and innovative action-based puzzler. Players line up multiple platforms on different levels to allow shaped blocks to pass through and once enough of them stack up, that particular shape closes off. A simple premise becomes more complicated as Meemoos begin to obstruct players' paths, and butterflies attempt to steal blocks away. Players must swivel, roll, and boost their way through 45 puzzle-filled levels alone or with up to four friends in cooperative party mode play. For those with a more competitive spirit, Roogoo offers a two-player multiplayer mode over Xbox Live where players battle to solve the same puzzle and can build up attacks to thwart their competitors' efforts. [SpiderMonk]",Metascore 78 out of 100
Golf Story,"Sep 20, 2018",E,"Tee up anywhere - on and off the course. Golf Story combines the sheer excitement of golf with a serious story that plays out over 8 different courses. Play the story of a golfer who is forced to give up all that he holds dear for one last shot at accomplishing his dreams. But all is not so simple in the world of golf. To best today's players you have to be able to keep up with them both on and off the course.

Features:

*    Tee up anywhere! Youll be surprised by how many problems can be solved by hitting a golf ball at them.
*    Explore 8 unique environments, each with their own courses, challenges, people and secrets.
*    Play through a dramatic story with a diverse cast of characters.",Metascore 78 out of 100
Zuma's Revenge!,,,"Enter an all-new world of Zuma where evil tiki bosses rule the land! Conquer over 60 levels by firing stone spheres to make matches and destroy the deadly stream of balls, then take on six tiki boss battles and guide your agile amphibian to victory! Leap into action in four game modes with explosive new features and amazing new gameplay: Slide and hop for smarter shots, hit targets for exotic bonuses, and detonate new power-up balls! Will you succumb to the perilous pitfalls, or can you tame the jungle in this PopCap ball-blasting challenge? [PopCap Games]",Metascore 78 out of 100
The Denpa Men: They Came By Wave,"Jul 24, 2012",E,"The Denpa Men: They Came By Wave is a role-playing game in which you collect Denpa Men to form a party, and use this party to explore dungeons.",Metascore 78 out of 100
Xanadu Next,,,"The village chief's daughter, Momo, has been kidnapped and you have been asked to rescue her. Finding her will not be easy. You will have to battle hordes of demons and monsters, even challenging King-Dragon himself! Can you conquer the darkness hanging over the land and return the light of the gods to XANADU! You are the only one who can save this world. It's time to plunge into the darkness!",Metascore 78 out of 100
